X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
39.140253,270423.77,267204.55,263982.78,260758.94,257533.5,122922.15,121005.44,119097.97,117199.9,115311.38,-30,86.132198,2627.2634
39.150253,270224.04,267114.08,264001.75,260887.48,257771.7,122705.56,120885.69,119074.18,117271.14,115476.72,-30,86.177161,2627.4002
39.160253,270021.19,267022.32,264021.25,261018.39,258014.1,122485.72,120764.24,119050.24,117343.83,115645.13,-30,86.222125,2627.5361
39.170253,269815.37,266929.39,264041.39,261151.72,258260.72,122262.62,120641.02,119026.07,117417.86,115816.49,-30,86.267091,2627.671
39.180253,269606.77,266835.43,264062.24,261287.5,258511.53,122036.28,120516.01,119001.59,117493.12,115990.65,-30,86.312057,2627.8048
39.190253,269395.61,266740.58,264083.86,261425.72,258766.44,121806.76,120389.2,118976.75,117569.46,116167.4,-30,86.357023,2627.9374
39.200253,269182.14,266644.99,264106.32,261566.35,259025.31,121574.17,120260.62,118951.46,117646.74,116346.51,-30,86.401991,2628.0688
39.210253,268966.66,266548.85,264129.66,261709.29,259287.95,121338.67,120130.31,118925.67,117724.79,116527.72,-30,86.446959,2628.1989
39.220253,268749.49,266452.33,264153.93,261854.47,259554.11,121100.45,119998.33,118899.32,117803.44,116710.72,-30,86.491929,2628.3278
39.230253,268530.97,266355.62,264179.15,262001.73,259823.5,120859.75,119864.79,118872.36,117882.49,116895.19,-30,86.536899,2628.4554
39.240253,268311.5,266258.91,264205.34,262150.92,260095.77,120616.84,119729.78,118844.74,117961.74,117080.79,-30,86.581869,2628.5816
